#round,#num_clusters,Mean Absolute Error
1.0,13.0,2.0
2.0,13.0,3.4
3.0,14.0,1.2
4.0,13.0,2.6
5.0,13.0,1.2
6.0,13.0,1.2
7.0,13.0,1.8
8.0,13.0,3.0
9.0,13.0,2.0
10.0,13.0,3.0
11.0,13.0,1.6
12.0,14.0,2.4
13.0,13.0,1.0
14.0,13.0,1.0
15.0,13.0,1.6
16.0,14.0,2.2
17.0,13.0,2.2
18.0,13.0,3.2
19.0,13.0,1.8
20.0,13.0,1.4
21.0,14.0,1.2
22.0,14.0,1.8
23.0,14.0,2.2
24.0,13.0,2.0
25.0,13.0,2.4
26.0,13.0,4.4
27.0,13.0,2.4
28.0,13.0,2.6
29.0,14.0,1.4
30.0,13.0,4.0
31.0,13.0,0.8
32.0,13.0,0.6
33.0,13.0,2.2
34.0,13.0,1.8
35.0,13.0,2.2
36.0,13.0,1.6
37.0,13.0,1.6
38.0,13.0,3.2
39.0,13.0,2.4
40.0,13.0,1.2
