Num_test,Mean Absolute Error,Accuracy(%)
1.0,1.049,20.0
2.0,2.938,40.0
3.0,1.78,40.0
4.0,2.951,20.0
5.0,1.098,40.0
6.0,1.153,40.0
7.0,1.484,20.0
8.0,2.219,20.0
9.0,1.347,40.0
10.0,2.964,0.0
11.0,0.969,40.0
12.0,1.39,60.0
13.0,0.95,20.0
14.0,1.247,40.0
15.0,1.868,20.0
16.0,3.255,20.0
17.0,2.503,40.0
18.0,1.773,20.0
19.0,1.55,40.0
20.0,0.545,40.0
21.0,1.594,20.0
22.0,1.937,40.0
23.0,1.876,20.0
24.0,2.015,20.0
25.0,3.531,20.0
26.0,2.427,20.0
27.0,3.497,0.0
28.0,3.168,0.0
29.0,1.755,20.0
30.0,1.311,0.0
31.0,0.809,20.0
32.0,1.094,40.0
33.0,1.938,20.0
34.0,0.976,40.0
35.0,1.977,0.0
36.0,1.594,20.0
37.0,1.481,20.0
38.0,2.685,0.0
39.0,2.914,0.0
40.0,1.451,20.0
