#round,#clusters,threshold,#relevant_clusters,Mean Absolute Error
1.0,32.0,0.11,19.0,1.0
2.0,32.0,0.11,19.0,2.833
3.0,32.0,0.11,19.0,2.111
4.0,32.0,0.11,20.0,1.25
5.0,32.0,0.11,20.0,2.429
6.0,32.0,0.11,17.0,2.4
7.0,32.0,0.11,21.0,2.143
8.0,32.0,0.11,19.0,1.9
9.0,32.0,0.11,19.0,4.5
10.0,32.0,0.11,19.0,1.286
11.0,32.0,0.11,19.0,2.375
12.0,32.0,0.11,19.0,2.625
13.0,32.0,0.11,20.0,1.556
14.0,32.0,0.11,21.0,2.167
15.0,32.0,0.11,18.0,2.25
16.0,32.0,0.11,19.0,3.571
17.0,32.0,0.11,18.0,4.0
18.0,32.0,0.11,18.0,1.875
19.0,32.0,0.11,19.0,2.0
20.0,32.0,0.11,19.0,1.375
21.0,32.0,0.11,21.0,1.0
22.0,32.0,0.11,21.0,1.714
23.0,32.0,0.11,18.0,2.308
24.0,32.0,0.11,19.0,1.333
25.0,32.0,0.11,20.0,0.667
