#round,#clusters,threshold,#relevant_clusters,Mean Absolute Error
1.0,32.0,0.08,17.0,1.0
2.0,28.0,0.15,18.0,2.5
3.0,32.0,0.08,17.0,2.111
4.0,26.0,0.26,23.0,1.125
5.0,32.0,0.08,19.0,2.571
6.0,32.0,0.08,19.0,2.2
7.0,28.0,0.15,18.0,2.429
8.0,32.0,0.08,17.0,1.8
9.0,26.0,0.26,24.0,4.5
10.0,28.0,0.15,18.0,1.5
11.0,28.0,0.15,18.0,3.0
12.0,28.0,0.15,17.0,2.625
13.0,28.0,0.15,18.0,1.0
14.0,26.0,0.26,24.0,1.167
15.0,28.0,0.15,18.0,2.438
16.0,26.0,0.26,23.0,3.143
17.0,26.0,0.26,22.0,3.2
18.0,28.0,0.15,17.0,2.0
19.0,32.0,0.08,17.0,1.875
20.0,26.0,0.26,24.0,1.25
21.0,28.0,0.15,18.0,0.889
22.0,28.0,0.15,19.0,1.429
23.0,28.0,0.15,18.0,2.077
24.0,28.0,0.15,18.0,1.667
25.0,32.0,0.08,17.0,0.667
